company,website,contact_channel,problem_observed,package_tier,status,notes
Austin Roofers,https://austinroofer.com/,contact page,$799,new,Austin TX
Altair Austin Roofing Company,https://austinroofingcompany.com/,support@austinroofingcompany.com,$799,new,Austin TX
HHH Roofing Houston,https://hhhroofing.com/houston/,phone on site,$799,new,Houston TX
Houston Fine Roofing,https://houstonfineroofing.com/estimate,email capture form,$799,new,Houston TX
Houston's Roofing Company,https://houstonsroofingco.com/,contact form,$799,new,Houston TX
Plano Roofing Pro,https://planoroofingpro.com/,phone on site,$799,new,Plano TX
Fort Worth Roofing,https://fortworthroofing.com/,contact form,$799,new,Fort Worth TX
Fort Worth TX Roofing,https://fortworthtxroofing.com/,estimate form,$799,new,Fort Worth TX
Ripple Roofing,https://www.rippleroofs.com/,phone on site,$799,new,Round Rock TX
San Antonio Roofing Company,https://sanantonioroofcompany.com/,contact form,$799,new,San Antonio TX
Santex Roofing,https://www.santexroofing.com/,contact page,$799,new,San Antonio TX
Cedar Park Roofer,https://cedarparkroofer.com/,contact form,$799,new,Cedar Park TX
